csv_field,alias,type,category,traffic_light,chart,chart_details,,,,
coordinates_latitude,Latitude,decimal,general,,,,,,,
coordinates_longitude,Longitude,decimal,general,,,,,,,
site_name,Unique ID,string,general,,,,,,,
governorate,Governorate,string,general,,,,,,,
district,District,string,general,,,,,,,
site_typology,Type of site,string,general,,,,,,,
area,Area,string,general,,,,,,,
sub_site,Sub-site,string,general,,,,,,,
camp_mngt,Camp management agency,string,management,nonered,,,,,,
camp_mngmt_office,Camp management office available,string,management,yesgreen,,,,,,
camp_mngmt_male_staff,Number of camp management male staff,integer,management,,,,,,,
camp_mngmt_female_staff,Number of camp management female staff,integer,management,,,,,,,
camp_committee,Camp commitees established,string,management,,,,,,,
camp_distribution_announcement,Distribution Announcement,list,management,,,,,,,
population_tracking,Population tracking methodology,string,management,,,,,,,
presence_of_camp_mobile_team,Presence of camp mobile team,string,management,yesgreen,,,,,,
camp_mobile_team_agency,Camp mobile team agency,string,management,,,,,,,
plots/occupied_plots,Maximum Occupancy(Plots),integer,shelter,,,,,,,
plots/no_of_shelters,No. of Shelters,integer,shelter,,,,,,,
has_concrete_slabs,Has Concrete Slabs:,string,shelter,,,,,,,
shelter_types,Types of shelters,list,shelter,,,,,,,
shelter_types/modm_tents,No. of  ModM tents,integer,shelter,,,,,,,
shelter_types/modm_tents_replacement,No. of ModM tents (requiring replacement),,,,,,,,,
shelter_types/modm_tents_repairs,No. of ModM tents (requiring repair),integer,shelter,,,,,,,
shelter_types/unhcr_tents,No. of UNHCR tents,integer,shelter,,,,,,,
shelter_types/unhcr_tents_repairs,No. of UNHCR tents (requiring repair),integer,shelter,,,,,,,
shelter_types/afad_tents,No. of AFAD tents,integer,shelter,,,,,,,
shelter_types/afad_tents_repairs,No. of AFAD tents (requiring repair),integer,shelter,,,,,,,
shelter_types/other_tents,Other Tents,integer,shelter,,,,,,,
shelter_types/other_tents_repairs,Other Tents requiring repair,integer,shelter,,,,,,,
shelter_types/caravans,Caravans,integer,shelter,,,,,,,
shelter_types/RHU,RHU,integer,shelter,,,,,,,
